ar,bs-Latn,bg,ca,zh-CHS,zh-CHT,hr,cs,da,nl,en,et,fi,fr,de,el,ht,he,hi,mww,hu,id,it,ja,sw,tlh,tlh-Qaak,ko,lv,lt,ms,mt,yua,no,otq,fa,pl,pt,ro,ru,sr-Cyrl,sr-Latn,sk,sl,es,sv,th,tr,uk,ur,vi,cy
الجافة,suha,сухо,sec,干,幹,suha,suché,tør,droog,dry,kuiv,kuiva,sec,trocken,ξηρό,Sek,יבש,सूखी,qhuav,száraz,kering,secco,乾燥,kavu,QaD,,건조,sausais,sausas,Kering,niexef,tikin,tørr,seco,خشک,sucha,seca,uscat,сухой,сува,suva,suché,suho,seco,torr,แห้ง,Kuru,сухі,خشک,khô,sych
الغبار,prašina,прах,pols,灰尘,灰塵,prašina,prach,støv,stof,dust,tolmu,pöly,poussière,Staub,σκόνη,pousyè,אבק,धूल,plua tshauv,por,debu,polvere,ほこり,mavumbi,dust,,먼지,putekļi,dulkių,habuk,it-trab,juuch'bil,støv,polvo,گرد و غبار,pył,poeira,praf,пыль,прашина,prašina,prach,prah,polvo,damm,ฝุ่น,toz,пил,دھول,bụi,llwch
الإذن,uho,ухо,orella,耳朵,耳朵,uho,ucho,øre,oor,ear,kõrva,korva,oreille,Ohr,αυτί,Zorey,האוזן,कान,pob ntseg,fül,telinga,orecchio,耳,sikio,qogh,,귀,auss,ausies,telinga,tal-widnejn,xikin,øre,o̲de,گوش,ucho,orelha,ureche,ухо,уво,uvo,ucho,uho,oído,öra,หู,kulak,вухо,کان,tai,clust
الأرض,Zemlja,Земята,Terra,地球,地球,Zemlja,Země,Jorden,Aarde,Earth,Maa,Maan,Terre,Erde,Γη,Latè,כדור הארץ,पृथ्वी,Ntiaj teb,Föld,Bumi,Terra,地球,Dunia,tera',,지구,Zemes,Žemė,Bumi,Tad-dinja,Lu'um,Jorden,Ximha̲i,زمین,Ziemia,Terra,Pământ,Земля,Земља,Zemlja,Zem,Zemlja,Tierra,Jorden,โลก,Dünya,Землі,زمین,Trái đất,Y ddaear
الشرق,istok,Изток,est,东,東,Istok,východ,øst,Oosten,east,East,Itä,Orient,Osten,Ανατολή,solèy leve,מזרח,पूर्वी,sab hnub tuaj,keleti,Timur,est,東,Mashariki,chan,,이스트,Austrumi,Rytų,Timur,il-lvant,Le,Øst,Nuna,شرق,Wschód,Leste,Est,Восток,исток,istok,východ,vzhod,Este,öst,ทิศตะวันออก,Doğu,Схід,مشرق,đông,Dwyrain
أكل,jesti,ядат,menjar,吃,吃,jesti,jíst,spise,eten,eat,süüa,syödä,manger,Essen,τρώνε,Manje,לאכול,खाने,noj,enni,Makan,mangiare,食べる,kula,Sop,,먹으십시오,ēst,valgyti,Makan,jieklu,janal,spise,'wini,خوردن,jeść,comer,mânca,съесть,Једи,Jedi,jesť,jesti,comer,äta,กิน,yemek,їсти,کھانا,ăn,yn ei fwyta
الحافة,rub,ръб,vora,边缘,邊緣,rub,hrany,kant,rand,edge,Edge,Edge,bord,Kante,άκρη,rebò,קצה,किनारे,ntug,Edge,tepi,bordo,エッジ,makali,HeH,,가장자리,mala,krašto,kelebihan,it-tarf,borde,kant,borde,لبه,krawędzi,borda,marginea,край,Ивица,Ivica,okraj,rob,borde,Edge,ขอบ,kenar,край,ایج,Edge,ymyl
البيض,jaje,яйце,ou,鸡蛋,雞蛋,jaje,vajíčko,æg,ei,egg,muna,muna,oeuf,Ei,αυγό,ze,ביצה,अंडा,nteg qe,tojás,telur,uovo,卵,yai,QIm,,달걀,olu,kiaušinių,telur,tal-bajd,je',egg,t'axi,تخم مرغ,jajko,ovo,ou,яйцо,јаје,jaje,vajcia,jajce,huevo,kg),ไข่,yumurta,яйце,انڈے,quả trứng,wyau
الانتخابات,izborni,избори,Eleccions,选举,選舉,izbora,volby,valget,verkiezing,election,valimiste,vaalit,élection,Wahl,εκλογή,eleksyon,הבחירות,चुनाव,xaiv tsa,választási,pemilihan,elezione,選挙,uchaguzi,election,,선거,vēlēšanu,rinkimai,pilihan raya,elezzjoni,elecciones,valget,elecciones,انتخابات,Wybory,eleição,alegeri,выборы,избори,izbori,voľby,volitve,elecciones,valet,การเลือกตั้ง,seçim,вибори,انتخابات,bầu cử,etholiad
الطاقة,energija,енергия,energia,能源,能源,energije,energie,energi,energie,energy,energia,energian,énergie,Energie,ενέργεια,enèji,אנרגיה,ऊर्जा,zog,energia,energi,energia,エネルギー,nishati,HoS,,에너지,enerģija,energijos,tenaga,enerġija,energía,energi,energía,انرژی,energii,energia,energie,Энергия,енергија,energija,energie,energije,energía,energi,พลังงาน,enerji,енергія,توانائی,năng lượng,ynni
محرك,motor,двигател,motor,引擎,引擎,motor,motor,motor,Motor,engine,mootor,moottori,moteur,Motor,μηχανή,motè,מנוע,इंजन,cav,motor,Mesin,motore,エンジン,injini,jonta',,엔진,dzinējs,variklis,enjin,magna,kisbuuts'o',søkemotor,motor,موتور,silnik,motor,motor,двигатель,мотор,motor,motor,motor,motor,motorn,เครื่องยนต์,Motoru,двигун,انجن,động cơ,peiriant
المساء,večer,вечерта,nit,晚上,晚上,večer,večer,aften,avond,evening,õhtul,ilta,soirée,'Nabend,βράδυ,aswè,הערב,शाम,hmo ntuj,este,malam,sera,今晩,jioni,ram,,저녁,vakarā,vakare,petang,fil-għaxija,áak'ab,kveld,xti nxui,شب,Wieczorem,noite,seara,вечер,вече,veče,večer,večer,noche,kvällen,ตอนเย็น,akşam,вечір,شام,buổi tối,gyda'r nos
ممارسة,vježba,упражнение,exercici,锻炼,鍛煉,vježba,cvičení,motion,oefening,exercise,Harjutus,liikunta,exercice,Übung,άσκηση,fè egzèsis,פעילות גופנית,व्यायाम,ib ce muaj zog,gyakorlat,latihan,esercizio,運動,zoezi,mI',,운동,uzdevums,Pratimai,senaman,eżerċizzju,ejercicio,Øvelse,tsa̲pi,ورزش,ćwiczenia,exercício,exercitarea,Упражнение,вежбе,vežbe,cvičenie,uresničevanje,ejercicio,utöva,ออกกำลังกาย,egzersiz,Вправа,ورزش,tập thể dục,ymarfer corff
غالية,skupo,скъпо,car,贵,貴,skupo,drahé,dyrt,duur,expensive,kallis,kallis,cher,teure,ακριβά,chè,יקר,महंगी,kim,drága,mahal,costoso,高価です,ghali,wagh,,비싼,dārgi,brangus,mahal,għalja,ko'oj,dyrt,hmädi,گران,drogich,caro,scump,дорогой,скупо,skupo,drahé,drago,caro,dyra,มีราคาแพง,pahalı,дорогі,مہنگی,đắt tiền,drud
تنفجر,eksplodirati,взривят,explotar,爆炸,爆炸,eksplodirati,Rozbalit,eksplodere,ontploffen,explode,plahvatada,räjähtää,exploser,explodieren,εκραγεί,fè eksplozyon,להתפוצץ,विस्फोट,tawg,felrobban,meledak,esplodere,爆発,kulipuka,jor,,폭발,eksplodēt,sprogti,meletup,jisplodu,explotar,eksplodere,explotar,منفجر,wybuchnąć,explodir,exploda,взорваться,експлодира,eksplodira,explodovať,eksplodirajo,explotar,explodera,ระเบิด,patlayabilir,вибухнути,پھٹ,nổ,ffrwydro
العين,oka,око,ull,眼睛,眼睛,oko,oko,øje,oog,eye,silma,silmä,œil,Auge,μάτι,je,עין,आँख,qhov muag,szem,mata,occhio,目,jicho,mIn,,눈,acs,akių,Mata,għajnejn,wich,øye,da̲,چشم,oko,olho,ochi,глаз,око,oko,oko,oči,ojo,ögat,ตา,göz,око,آنکھ,mắt,llygaid
الوجه,lice,лицето,cara,脸上,臉上,lice,obličej,ansigt,gezicht,face,nägu,kasvot,visage,Gesicht,πρόσωπο,figi,הפנים,चेहरा,ntsej muag,arc,wajah,viso,顔,uso,qaD,,얼굴,seja,veido,muka,il-wiċċ,u yich,ansikt,hmi,چهره,twarz,cara,fata,лицо,лице,lice,tvár,obraz,cara,ansikte,ใบหน้า,yüz,обличчя,چہرہ,khuôn mặt,wyneb
سقوط,jesen,Есен,tardor,秋天,秋天,jesen,na podzim,falder,Val,fall,sügisel,syksyllä,l’automne,fallen,πτώση,tonbe,סתיו,गिर,lub caij nplooj zeeg,őszi,musim gugur,caduta,秋,kuanguka,lu,,가,kritums,rudenį,jatuh,jaqgħu,caída,høst,caída,پاییز,upadek,Outono,toamna,Осень,пад,pad,jeseň,padec,caída,höst,ฤดูใบไม้ร่วง,Sonbahar,падіння,زوال,mùa thu,cwymp
الأسرة,obitelj,семейство,família,家庭,家庭,obitelj,rodina,familie,familie,family,perekond,perhe,famille,Familie,οικογένεια,fanmi,המשפחה,परिवार,tsev neeg,család,Keluarga,famiglia,家族,familia,qorDu',,가족,ģimenes,šeima,Keluarga,tal-familja,ch'i'ibalil,familie,meni,خانواده,Rodzina,família,familia,Семья,породица,porodica,rodina,družina,familia,familj,ครอบครัว,Aile,Сім'я,خاندان,gia đình,teulu
الشهير,poznati,известни,famós,著名,著名,poznati,slavný,berømte,beroemde,famous,kuulus,kuuluisa,célèbre,berühmte,διάσημο,gran,המפורסם,प्रसिद्ध,nto moo,híres,terkenal,famoso,有名です,maarufu,noy,,유명한,slavens,garsus,terkenal,famu\i,famosos,berømte,famosos,معروف,słynny,famosos,celebru,знаменитый,познати,poznati,slávny,slavni,famosos,berömda,มีชื่อเสียง,ünlü,знаменитий,مشہور,nổi tiếng,enwog
مروحة,ventilator,фен,fan,风扇,風扇,ventilator,fanoušek,fan,ventilator,fan,fänn,Tuuletin,ventilateur,Ventilator,ανεμιστήρα,fanatik,מאוורר,प्रशंसक,ntxuam,ventilátor,kipas angin,Ventilatore,ファン,shabiki,fan,,팬,ventilators,ventiliatorius,kipas,fann,ventilador,fan,ventilador,فن,wentylator,ventilador,florina,Вентилятор,вентилатор,ventilator,ventilátor,ventilator,ventilador,fläkt,พัดลม,fan,вентилятор,پرستار,fan hâm mộ,ffan
المزرعة,farma,ферма,granja,农场,農場,farma,farma,Farm,boerderij,farm,talu,Farm,ferme,Bauernhof,αγρόκτημα,fèm travay tè,החווה,फ़ार्म,ua liaj ua teb,Farm,pertanian,azienda agricola,ファーム,shamba,Du',,농장,saimniecības,ūkio,ladang,razzett,p'ujik,gården,granja,مزرعه,gospodarstwa,fazenda,ferma,ферма,фарма,farma,farma,Kmetija,granja,gård,ฟาร์ม,çiftlik,ферми,فارم,Trang trại,fferm
سريع,brzo,бързо,ràpid,快速,快速,brzo,rychle,hurtig,snel,fast,Kiire,Nopea,rapide,schnell,γρήγορη,fè jèn,מהר,तेजी से,ceev,gyors,cepat,veloce,高速,haraka,nom,,빠른,ātri,greitai,cepat,veloċi,Séeb,rask,ngutha,سریع,szybki,rápido,rapid,быстрый,брзо,brzo,rýchle,hitro,rápido,snabb,อย่างรวดเร็ว,Hızlı,швидкий,تیز,nhanh chóng,cyflym
الأب,otac,баща,pare,父亲,父親,otac,otec,far,vader,father,isa,isä,père,Vater,ο πατέρας,papa,אבא,पिता,leej txiv,apja,ayah,padre,父,Baba,vav,,아버지,tēvs,tėvas,bapa,missier,yuum,far,tada,پدر,Ojciec,pai,Tatăl,отец,отац,otac,otec,oče,padre,fader,พ่อ,Baba,батько,باپ,cha,tad
شباط/فبراير,Veljače,Февруари,Febrer,2 月,2 月,Veljača,Únor,Februar,Februari,February,Veebruar,Helmikuuta,Février,Februar,Φεβρουάριος,Fevriye,בפברואר,फ़रवरी,Lub ob hlis ntuj,Február,Februari,Febbraio,2 月,Februari,february,,2 월,Februāris,Vasaris,Februari,Frar,Febrero,Februar,Febrero,فوریه,Lutego,Fevereiro,Februarie,Февраль,Фебруара,Februara,Februára,Februarja,Febrero,Februari,กุมภาพันธ์,Şubat,Лютий,فروری,Tháng hai,Mis Chwefror
تغذية,sažetak sadržaja,емисия,alimentació,饲料,飼料,Sažetak sadržaja,informační kanál,feed,diervoeders,feed,feed,syötteen,aliments pour animaux,Feed,ζωοτροφές,bay manje,הזנה,फ़ीड,noj,takarmány,pakan,mangimi,フィード,Kilishi,je',,피드,barība,pašarų,suapan,l-għalf,ti' le alimentación,feed,ya ar alimentación,خوراک,paszy,alimentos para animais,hrana pentru animale,корма,нахрани,nahrani,krmivo,krme,de la alimentación,foder,ฟีด,besleme,годувати,فیڈ,nguồn cấp dữ liệu,bwyd anifeiliaid
أنثى,muški,женски,femella,女性,女性,Muški,Žena,kvinde,vrouw,female,emane,nainen,femelle,Weiblich,θηλυκό,femèl,נקבה,महिला,poj niam,női,Laki-laki,donna,女性,mwanamke,be',,여성,sievietes,moteris,perempuan,mara,ko'olelo',kvinne,ar 'be̲hñä,زن,Kobieta,fêmea,de sex feminin,девушки,женка,ženka,žena,ženski,mujer,kvinna,หญิง,Erkek,жінка,مادہ,nữ,Benyw
مكافحة,borba,борбата,lluita,战斗,戰鬥,borba,boj,kæmpe,strijd,fight,võitlus,taistelu,lutte contre le,Kampf,καταπολέμηση,batay,להילחם,लड़ाई,sib ntaus,küzdelem,melawan,lotta,戦い,kupambana na,vay,,싸움,cīņa,kovoti su,perjuangan,ġlieda,ba'ate'lo' xu'ullsa'al le,kampen,lucha kontra ar,مبارزه با,Walka,luta,lupta,бой,борба,borba,boj,boj,lucha contra el,kampen,ต่อสู้,mücadele,боротьба,لڑائی,chiến đấu,ymladd
البحث عن,pronaći,Намери,trobar,查找,查找,pronaći,Najít,Find,zoeken,find,Leia,Etsi,trouver,finden,Βρείτε,jwenn,למצוא,ढूँढें,nrhiav tau,Keresés,menemukan,trovare,検索,kupata,tu',,찾기,atrast,rasti,mencari,Sib,kaxtik,Finn,tingigi mbo,پیدا کردن,Znajdź,encontrar,găsi,найти,пронаћи,pronaći,Nájsť,Poišči,encontrar,hitta,ค้นหา,bulmak,знайти,تلاش کریں,tìm thấy,dod o hyd i
إصبع,prst,пръст,dit,手指,手指,prst,prst,finger,vinger,finger,sõrme,sormi,doigt,Finger,δάχτυλο,Douet,אצבע,उंगली,ntiv tes,ujj,jari,dito,指,kidole,Heng,,손가락,pirkstu,piršto,jari,kien skennjat,yaal,fingeren,dedo,انگشت,palec,dedo,deget,палец,прст,prst,prst,prst,dedo,finger,นิ้ว,parmak,палець,انگلی,ngón tay,bys a bawd
الحريق,požar,огън,foc,消防,消防,vatra,oheň,brand,brand,fire,tulekahju,palo,feu,Feuer,φωτιά,Dife,אש,आग,hluav taws,tűz,api,fuoco,火,moto,baH,,화재,uguns,gaisro,kebakaran,tan-nar,k'áak'o',brann,tsibi,آتش,ogień,fogo,foc,огонь,Ватра,Vatra,oheň,ogenj,fuego,Fire,ไฟไหม้,Yangın,вогонь,آگ,chữa cháy,tân
الأسماك,ribe,риба,peix,鱼,魚,riba,ryby,fisk,vis,fish,kala,kala,poisson,Fisch,ψάρια,pwason,דגים,मछली,ntses,hal,ikan,pesce,魚,samaki,ghotI',,물고기,zivis,žuvis,ikan,ħut,kaaye',fisk,da̲Jwä,ماهی,ryby,peixe,peşte,Рыба,риба,riba,ryby,ribe,pescado,fisk,ปลา,Balık,риби,مچھلی,cá,pysgod
شقة,stan,плосък,pis,平,平,Stan,plochý,flad,Flat,flat,korter,tasainen,plat,flache,επίπεδη,plat,במול,फ्लैट,tiaj,lapos,datar,piatto,フラット,fleti,beQ,,플랫,dzīvoklis,Butas,Flat,Flat,plano,flatskjerm,plano,تخت,płaski,plano de,plat,Квартира,равна,ravna,ploché,stanovanje,plano,platta,แบน,düz,Квартира,فلیٹ,căn hộ,fflat
الكلمة,Kat,етаж,pis,地板,地板,kat,podlaha,gulvet,vloer,floor,korrus,kerros,plancher,Stock,πάτωμα,etaj,קומה,मंजिल,pem teb,emelet,lantai,piano,床,sakafu,rav,,바닥,grīdas,grindų,tingkat,sular,lu'umo',etasje,piso,طبقه,piętro,piso,podea,этаж,спрат,sprat,poschodí,tla,piso,våningen,ชั้น,kat,підлоги,منزل,sàn nhà,llawr
زهرة,cvijet,цвете,flor,花,花,cvijet,květ,blomst,bloem,flower,lill,kukka,fleur,Blume,λουλούδι,flè,פרח,फूल,paj,virág,bunga,fiore,花,ua,tlhIroghnI',,꽃,puķe,gėlė,bunga,tal-fjuri,nikte'o',blomst,do̲ni,گل,kwiat,flor,floare,цветок,цвет,cvet,kvet,cvet,flor,blomma,ดอกไม้,çiçek,квітка,پھول,Hoa,blodau
يطير,letjeti,лети,volar,飞,飛,letjeti,moucha,flyve,vliegen,fly,lennata,lentää,mouche,fliegen,μύγα,vole,לעוף,मक्खी,yoov,menet közben,terbang,volare,飛ぶ,kuruka,puv,,비행,muša,skristi,FLY,jtajru l-,xik'nal,fly,volar,پرواز,latać,voar,zbura,Муха,летим,letim,lietať,letenje,volar,flyga,บิน,sinek,літати,مکھی,bay,anghyfreithlon
يتبع,Slijedite,Следвайте,seguir,请按照,請按照,Slijedite,následovat,Følg,Ga als volgt te,follow,Järgige,Seuraa,Suivez,Folgen Sie,ακολουθήστε,swiv,בצע,का पालन करें,ua raws,Kövesse,Ikuti,seguire,従う,kufuata,pab,,따라,izpildiet,atlikite,Ikut,isegwu,Toj ka',Følg,Deni,دنبال,Postępuj zgodnie z,Siga,urmaţi,Следуйте,Пратите,Pratite,postupujte podľa,Sledite,Siga,följa,ทำตาม,izleyin,Дотримуйтесь,پر عمل کریں,làm theo,yn dilyn
المواد الغذائية,hrana,храна,aliments,食品,食品,hrana,jídlo,mad,voedsel,food,toidu,Ruoka,alimentaire,Essen,τροφίμων,manje,מזון,खाद्य,khoom noj khoom haus,élelmiszer,Makanan,cibo,食品,chakula,Soj,,음식,pārtika,maisto,makanan,ikel,janalbe'eno'ob,mat,nts'i,مواد غذایی,jedzenie,comida,produse alimentare,питание,храна,hrana,jedlo,hrane,alimentos,mat,อาหาร,Gıda,продукти харчування,کھانا,thực phẩm,bwyd
سيرا على الأقدام,stopala,крак,peu,脚,腳,stopala,noha,foden,voet,foot,suu,jalka,pied,Fuß,τα πόδια,Pie,רגל,पैर,ko taw,láb,kaki,piedi,足,mguu,qam,,발,pēda,pėdos,kaki,ilsien,wook,foten,'yowa,پا,stopy,os pés,picior,футов,стопало,stopalo,noha,stopala,pie,foten,เท้า,ayak,фут,پاؤں,bàn chân,traed
الغابات,šuma,гора,bosc,森林,森林,šuma,Les,skov,bos,forest,metsa,Metsä,Forest,Wald,δάσος,Forest,יער,वन,hav zoov,erdő,hutan,foresta,フォレスト,msitu,ngem,,숲,meža,miško,hutan,tal-foresti,Saatalen,skog,mboza,جنگل,lasu,floresta,pădure,лес,шуме,šume,lesné,gozd,bosque,skogen,ป่า,Orman,ліс,جنگل,rừng,coedwig
تفرع,vilicom,вилица,forquilla,叉子,叉子,vilicom,vidlice,gaffel,vork,fork,kahvel,haarukka,fourche,Gabel,πιρούνι,fouch,מזלג,कांटा,diav rawg,villás,garpu,forcella,フォーク,uma,puq chonnaQ, ,포크,dakša,šakutė,fork,truck,horquilla,gaffel,horquilla,چنگال,widelec,garfo,furcă,вилка,виљушка,viljuška,vidlica,vilice,horquilla,gaffel,ส้อม,çatal,Виделка,کانٹا,ngã ba,fforc
